codigoPostal,ciudad,estadoNombreCorto
01000,Ciudad de México,Ciudad de México
01010,Ciudad de México,Ciudad de México
01020,Ciudad de México,Ciudad de México
01030,Ciudad de México,Ciudad de México
01040,Ciudad de México,Ciudad de México
01049,Ciudad de México,Ciudad de México
01050,Ciudad de México,Ciudad de México
01060,Ciudad de México,Ciudad de México
01070,Ciudad de México,Ciudad de México
01080,Ciudad de México,Ciudad de México
01089,Ciudad de México,Ciudad de México
01090,Ciudad de México,Ciudad de México
01100,Ciudad de México,Ciudad de México
01109,Ciudad de México,Ciudad de México
01110,Ciudad de México,Ciudad de México
01120,Ciudad de México,Ciudad de México
01125,Ciudad de México,Ciudad de México
01130,Ciudad de México,Ciudad de México
01139,Ciudad de México,Ciudad de México
01140,Ciudad de México,Ciudad de México
01150,Ciudad de México,Ciudad de México
01160,Ciudad de México,Ciudad de México
01170,Ciudad de México,Ciudad de México
01180,Ciudad de México,Ciudad de México
01200,Ciudad de México,Ciudad de México
01210,Ciudad de México,Ciudad de México
01219,Ciudad de México,Ciudad de México
01220,Ciudad de México,Ciudad de México
01230,Ciudad de México,Ciudad de México
01239,Ciudad de México,Ciudad de México
01240,Ciudad de México,Ciudad de México
01250,Ciudad de México,Ciudad de México
01259,Ciudad de México,Ciudad de México
01260,Ciudad de México,Ciudad de México
01269,Ciudad de México,Ciudad de México
01270,Ciudad de México,Ciudad de México
01275,Ciudad de México,Ciudad de México
01276,Ciudad de México,Ciudad de México
01278,Ciudad de México,Ciudad de México
01279,Ciudad de México,Ciudad de México
01280,Ciudad de México,Ciudad de México
01285,Ciudad de México,Ciudad de México
01289,Ciudad de México,Ciudad de México
01290,Ciudad de México,Ciudad de México
01296,Ciudad de México,Ciudad de México
01298,Ciudad de México,Ciudad de México
01299,Ciudad de México,Ciudad de México
01310,Ciudad de México,Ciudad de México
01320,Ciudad de México,Ciudad de México
01330,Ciudad de México,Ciudad de México
01340,Ciudad de México,Ciudad de México
01376,Ciudad de México,Ciudad de México
01377,Ciudad de México,Ciudad de México
01389,Ciudad de México,Ciudad de México
01400,Ciudad de México,Ciudad de México
01407,Ciudad de México,Ciudad de México
01408,Ciudad de México,Ciudad de México
01410,Ciudad de México,Ciudad de México
01419,Ciudad de México,Ciudad de México
01420,Ciudad de México,Ciudad de México
01430,Ciudad de México,Ciudad de México
01450,Ciudad de México,Ciudad de México
01460,Ciudad de México,Ciudad de México
01470,Ciudad de México,Ciudad de México
01480,Ciudad de México,Ciudad de México
01490,Ciudad de México,Ciudad de México
01500,Ciudad de México,Ciudad de México
01509,Ciudad de México,Ciudad de México
01510,Ciudad de México,Ciudad de México
01520,Ciudad de México,Ciudad de México
01530,Ciudad de México,Ciudad de México
01538,Ciudad de México,Ciudad de México
01539,Ciudad de México,Ciudad de México
01540,Ciudad de México,Ciudad de México
01548,Ciudad de México,Ciudad de México
01549,Ciudad de México,Ciudad de México
01550,Ciudad de México,Ciudad de México
01560,Ciudad de México,Ciudad de México
01566,Ciudad de México,Ciudad de México
01569,Ciudad de México,Ciudad de México
01588,Ciudad de México,Ciudad de México
01590,Ciudad de México,Ciudad de México
01600,Ciudad de México,Ciudad de México
01610,Ciudad de México,Ciudad de México
01618,Ciudad de México,Ciudad de México
01619,Ciudad de México,Ciudad de México
01620,Ciudad de México,Ciudad de México
01630,Ciudad de México,Ciudad de México
01640,Ciudad de México,Ciudad de México
01645,Ciudad de México,Ciudad de México
01650,Ciudad de México,Ciudad de México
01700,Ciudad de México,Ciudad de México
01708,Ciudad de México,Ciudad de México
01710,Ciudad de México,Ciudad de México
01720,Ciudad de México,Ciudad de México
01729,Ciudad de México,Ciudad de México
01730,Ciudad de México,Ciudad de México
01740,Ciudad de México,Ciudad de México
01750,Ciudad de México,Ciudad de México
01759,Ciudad de México,Ciudad de México
01760,Ciudad de México,Ciudad de México
01770,Ciudad de México,Ciudad de México
01780,Ciudad de México,Ciudad de México
01789,Ciudad de México,Ciudad de México
01790,Ciudad de México,Ciudad de México
01800,Ciudad de México,Ciudad de México
01807,Ciudad de México,Ciudad de México
01810,Ciudad de México,Ciudad de México
01820,Ciudad de México,Ciudad de México
01830,Ciudad de México,Ciudad de México
01840,Ciudad de México,Ciudad de México
01849,Ciudad de México,Ciudad de México
01857,Ciudad de México,Ciudad de México
01859,Ciudad de México,Ciudad de México
01860,Ciudad de México,Ciudad de México
01863,Ciudad de México,Ciudad de México
01870,Ciudad de México,Ciudad de México
01900,Ciudad de México,Ciudad de México
01904,Ciudad de México,Ciudad de México
02000,Ciudad de México,Ciudad de México
02010,Ciudad de México,Ciudad de México
02020,Ciudad de México,Ciudad de México
02040,Ciudad de México,Ciudad de México
02050,Ciudad de México,Ciudad de México
02060,Ciudad de México,Ciudad de México
02070,Ciudad de México,Ciudad de México
02080,Ciudad de México,Ciudad de México
02090,Ciudad de México,Ciudad de México
02099,Ciudad de México,Ciudad de México
02100,Ciudad de México,Ciudad de México
02120,Ciudad de México,Ciudad de México
02128,Ciudad de México,Ciudad de México
02129,Ciudad de México,Ciudad de México
02130,Ciudad de México,Ciudad de México
02140,Ciudad de México,Ciudad de México
02150,Ciudad de México,Ciudad de México
02160,Ciudad de México,Ciudad de México
02200,Ciudad de México,Ciudad de México
02230,Ciudad de México,Ciudad de México
02240,Ciudad de México,Ciudad de México
02250,Ciudad de México,Ciudad de México
02300,Ciudad de México,Ciudad de México
02310,Ciudad de México,Ciudad de México
02320,Ciudad de México,Ciudad de México
02330,Ciudad de México,Ciudad de México
02340,Ciudad de México,Ciudad de México
02360,Ciudad de México,Ciudad de México
02400,Ciudad de México,Ciudad de México
02410,Ciudad de México,Ciudad de México
02420,Ciudad de México,Ciudad de México
02440,Ciudad de México,Ciudad de México
02459,Ciudad de México,Ciudad de México
02460,Ciudad de México,Ciudad de México
02470,Ciudad de México,Ciudad de México
02480,Ciudad de México,Ciudad de México
02490,Ciudad de México,Ciudad de México
02500,Ciudad de México,Ciudad de México
02519,Ciudad de México,Ciudad de México
02520,Ciudad de México,Ciudad de México
02530,Ciudad de México,Ciudad de México
02600,Ciudad de México,Ciudad de México
02630,Ciudad de México,Ciudad de México
02640,Ciudad de México,Ciudad de México
02650,Ciudad de México,Ciudad de México
02660,Ciudad de México,Ciudad de México
02670,Ciudad de México,Ciudad de México
02680,Ciudad de México,Ciudad de México
02700,Ciudad de México,Ciudad de México
02710,Ciudad de México,Ciudad de México
02719,Ciudad de México,Ciudad de México
02720,Ciudad de México,Ciudad de México
02730,Ciudad de México,Ciudad de México
02750,Ciudad de México,Ciudad de México
02760,Ciudad de México,Ciudad de México
02770,Ciudad de México,Ciudad de México
02780,Ciudad de México,Ciudad de México
02790,Ciudad de México,Ciudad de México
02800,Ciudad de México,Ciudad de México
02810,Ciudad de México,Ciudad de México
02830,Ciudad de México,Ciudad de México
02840,Ciudad de México,Ciudad de México
02860,Ciudad de México,Ciudad de México
02870,Ciudad de México,Ciudad de México
02900,Ciudad de México,Ciudad de México
02910,Ciudad de México,Ciudad de México
02920,Ciudad de México,Ciudad de México
02930,Ciudad de México,Ciudad de México
02940,Ciudad de México,Ciudad de México
02950,Ciudad de México,Ciudad de México
02960,Ciudad de México,Ciudad de México
02970,Ciudad de México,Ciudad de México
02980,Ciudad de México,Ciudad de México
02990,Ciudad de México,Ciudad de México
03000,Ciudad de México,Ciudad de México
03010,Ciudad de México,Ciudad de México
03020,Ciudad de México,Ciudad de México
03023,Ciudad de México,Ciudad de México
03100,Ciudad de México,Ciudad de México
03103,Ciudad de México,Ciudad de México
03104,Ciudad de México,Ciudad de México
03200,Ciudad de México,Ciudad de México
03230,Ciudad de México,Ciudad de México
03240,Ciudad de México,Ciudad de México
03300,Ciudad de México,Ciudad de México
03303,Ciudad de México,Ciudad de México
03310,Ciudad de México,Ciudad de México
03320,Ciudad de México,Ciudad de México
03330,Ciudad de México,Ciudad de México
03340,Ciudad de México,Ciudad de México
03400,Ciudad de México,Ciudad de México
03410,Ciudad de México,Ciudad de México
03420,Ciudad de México,Ciudad de México
03430,Ciudad de México,Ciudad de México
03440,Ciudad de México,Ciudad de México
03500,Ciudad de México,Ciudad de México
03510,Ciudad de México,Ciudad de México
03520,Ciudad de México,Ciudad de México
03530,Ciudad de México,Ciudad de México
03540,Ciudad de México,Ciudad de México
03550,Ciudad de México,Ciudad de México
03560,Ciudad de México,Ciudad de México
03570,Ciudad de México,Ciudad de México
03580,Ciudad de México,Ciudad de México
03590,Ciudad de México,Ciudad de México
03600,Ciudad de México,Ciudad de México
03610,Ciudad de México,Ciudad de México
03620,Ciudad de México,Ciudad de México
03630,Ciudad de México,Ciudad de México
03640,Ciudad de México,Ciudad de México
03650,Ciudad de México,Ciudad de México
03660,Ciudad de México,Ciudad de México
03700,Ciudad de México,Ciudad de México
03710,Ciudad de México,Ciudad de México
03720,Ciudad de México,Ciudad de México
03730,Ciudad de México,Ciudad de México
03740,Ciudad de México,Ciudad de México
03800,Ciudad de México,Ciudad de México
03810,Ciudad de México,Ciudad de México
03820,Ciudad de México,Ciudad de México
03840,Ciudad de México,Ciudad de México
03900,Ciudad de México,Ciudad de México
03910,Ciudad de México,Ciudad de México
03920,Ciudad de México,Ciudad de México
03930,Ciudad de México,Ciudad de México
03940,Ciudad de México,Ciudad de México
04000,Ciudad de México,Ciudad de México
04010,Ciudad de México,Ciudad de México
04020,Ciudad de México,Ciudad de México
04030,Ciudad de México,Ciudad de México
04040,Ciudad de México,Ciudad de México
04100,Ciudad de México,Ciudad de México
04120,Ciudad de México,Ciudad de México
04200,Ciudad de México,Ciudad de México
04210,Ciudad de México,Ciudad de México
04230,Ciudad de México,Ciudad de México
04240,Ciudad de México,Ciudad de México
04250,Ciudad de México,Ciudad de México
04260,Ciudad de México,Ciudad de México
04300,Ciudad de México,Ciudad de México
