,codigoPostal,variable,dimension,value_type,numeric_value,string_value
0,80060,T2M,JAN,numeric,20.26,
1,80060,T2M,FEB,numeric,21.12,
2,80060,T2M,MAR,numeric,23.25,
3,80060,T2M,APR,numeric,25.7,
4,80060,T2M,MAY,numeric,28.41,
5,80060,T2M,JUN,numeric,30.3,
6,80060,T2M,JUL,numeric,28.83,
7,80060,T2M,AUG,numeric,28.08,
8,80060,T2M,SEP,numeric,27.23,
9,80060,T2M,OCT,numeric,26.35,
10,80060,T2M,NOV,numeric,23.46,
11,80060,T2M,DEC,numeric,20.22,
12,80060,T2M,ANN,numeric,25.28,
13,80060,T2M_MAX,JAN,numeric,36.72,
14,80060,T2M_MAX,FEB,numeric,37.88,
15,80060,T2M_MAX,MAR,numeric,39.97,
16,80060,T2M_MAX,APR,numeric,43.63,
17,80060,T2M_MAX,MAY,numeric,43.11,
18,80060,T2M_MAX,JUN,numeric,45.87,
19,80060,T2M_MAX,JUL,numeric,42.43,
20,80060,T2M_MAX,AUG,numeric,38.92,
21,80060,T2M_MAX,SEP,numeric,38.39,
22,80060,T2M_MAX,OCT,numeric,38.08,
23,80060,T2M_MAX,NOV,numeric,38.73,
24,80060,T2M_MAX,DEC,numeric,35.53,
25,80060,T2M_MAX,ANN,numeric,45.87,
26,80060,T2M_MIN,JAN,numeric,5.94,
27,80060,T2M_MIN,FEB,numeric,3.69,
28,80060,T2M_MIN,MAR,numeric,8.94,
29,80060,T2M_MIN,APR,numeric,13.35,
30,80060,T2M_MIN,MAY,numeric,14.69,
31,80060,T2M_MIN,JUN,numeric,19.18,
32,80060,T2M_MIN,JUL,numeric,22.08,
33,80060,T2M_MIN,AUG,numeric,21.98,
34,80060,T2M_MIN,SEP,numeric,18.96,
35,80060,T2M_MIN,OCT,numeric,14.8,
36,80060,T2M_MIN,NOV,numeric,10.36,
37,80060,T2M_MIN,DEC,numeric,5.11,
38,80060,T2M_MIN,ANN,numeric,3.69,
39,80060,EQUIV_NO_SUN_CONSEC_MONTH,JAN,numeric,4.79,
40,80060,EQUIV_NO_SUN_CONSEC_MONTH,FEB,numeric,4.75,
41,80060,EQUIV_NO_SUN_CONSEC_MONTH,MAR,numeric,4.07,
42,80060,EQUIV_NO_SUN_CONSEC_MONTH,APR,numeric,4.67,
43,80060,EQUIV_NO_SUN_CONSEC_MONTH,MAY,numeric,3.14,
44,80060,EQUIV_NO_SUN_CONSEC_MONTH,JUN,numeric,2.32,
45,80060,EQUIV_NO_SUN_CONSEC_MONTH,JUL,numeric,2.14,
46,80060,EQUIV_NO_SUN_CONSEC_MONTH,AUG,numeric,1.87,
47,80060,EQUIV_NO_SUN_CONSEC_MONTH,SEP,numeric,2.05,
48,80060,EQUIV_NO_SUN_CONSEC_MONTH,OCT,numeric,2.85,
49,80060,EQUIV_NO_SUN_CONSEC_MONTH,NOV,numeric,5.26,
50,80060,EQUIV_NO_SUN_CONSEC_MONTH,DEC,numeric,4.11,
51,80060,EQUIV_NO_SUN_CONSEC_MONTH,ANN,numeric,-999.0,
52,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,JAN,numeric,4.24,
53,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,FEB,numeric,5.25,
54,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,MAR,numeric,6.41,
55,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,APR,numeric,7.11,
56,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,MAY,numeric,7.6,
57,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,JUN,numeric,7.11,
58,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,JUL,numeric,6.28,
59,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,AUG,numeric,5.84,
60,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,SEP,numeric,5.45,
61,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,OCT,numeric,5.46,
62,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,NOV,numeric,4.58,
63,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,DEC,numeric,4.06,
64,80060,SI_EF_TILTED_SURFACE_HORIZONTAL,ANN,numeric,-999.0,
65,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,JAN,numeric,4.82,
66,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,FEB,numeric,5.79,
67,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,MAR,numeric,6.78,
68,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,APR,numeric,7.22,
69,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,MAY,numeric,7.45,
70,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,JUN,numeric,6.88,
71,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,JUL,numeric,6.14,
72,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,AUG,numeric,5.84,
73,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,SEP,numeric,5.61,
74,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,OCT,numeric,5.94,
75,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,NOV,numeric,5.19,
76,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,DEC,numeric,4.68,
77,80060,SI_EF_TILTED_SURFACE_LAT_MINUS15,ANN,numeric,-999.0,
78,80060,SI_EF_TILTED_SURFACE_LATITUDE,JAN,numeric,5.46,
79,80060,SI_EF_TILTED_SURFACE_LATITUDE,FEB,numeric,6.32,
80,80060,SI_EF_TILTED_SURFACE_LATITUDE,MAR,numeric,7.01,
81,80060,SI_EF_TILTED_SURFACE_LATITUDE,APR,numeric,7.05,
82,80060,SI_EF_TILTED_SURFACE_LATITUDE,MAY,numeric,6.88,
83,80060,SI_EF_TILTED_SURFACE_LATITUDE,JUN,numeric,6.24,
84,80060,SI_EF_TILTED_SURFACE_LATITUDE,JUL,numeric,5.66,
85,80060,SI_EF_TILTED_SURFACE_LATITUDE,AUG,numeric,5.6,
86,80060,SI_EF_TILTED_SURFACE_LATITUDE,SEP,numeric,5.62,
87,80060,SI_EF_TILTED_SURFACE_LATITUDE,OCT,numeric,6.37,
88,80060,SI_EF_TILTED_SURFACE_LATITUDE,NOV,numeric,5.85,
89,80060,SI_EF_TILTED_SURFACE_LATITUDE,DEC,numeric,5.38,
90,80060,SI_EF_TILTED_SURFACE_LATITUDE,ANN,numeric,-999.0,
91,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,JAN,numeric,5.78,
92,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,FEB,numeric,6.48,
93,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,MAR,numeric,6.83,
94,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,APR,numeric,6.49,
95,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,MAY,numeric,6.01,
96,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,JUN,numeric,5.35,
97,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,JUL,numeric,4.96,
98,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,AUG,numeric,5.07,
99,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,SEP,numeric,5.33,
100,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,OCT,numeric,6.43,
101,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,NOV,numeric,6.17,
102,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,DEC,numeric,5.77,
103,80060,SI_EF_TILTED_SURFACE_LAT_PLUS15,ANN,numeric,-999.0,
104,80060,SI_EF_TILTED_SURFACE_VERTICAL,JAN,numeric,4.49,
105,80060,SI_EF_TILTED_SURFACE_VERTICAL,FEB,numeric,4.46,
106,80060,SI_EF_TILTED_SURFACE_VERTICAL,MAR,numeric,3.72,
107,80060,SI_EF_TILTED_SURFACE_VERTICAL,APR,numeric,2.5,
108,80060,SI_EF_TILTED_SURFACE_VERTICAL,MAY,numeric,1.63,
109,80060,SI_EF_TILTED_SURFACE_VERTICAL,JUN,numeric,1.47,
110,80060,SI_EF_TILTED_SURFACE_VERTICAL,JUL,numeric,1.62,
111,80060,SI_EF_TILTED_SURFACE_VERTICAL,AUG,numeric,1.93,
112,80060,SI_EF_TILTED_SURFACE_VERTICAL,SEP,numeric,2.63,
113,80060,SI_EF_TILTED_SURFACE_VERTICAL,OCT,numeric,4.08,
114,80060,SI_EF_TILTED_SURFACE_VERTICAL,NOV,numeric,4.61,
115,80060,SI_EF_TILTED_SURFACE_VERTICAL,DEC,numeric,4.63,
116,80060,SI_EF_TILTED_SURFACE_VERTICAL,ANN,numeric,-999.0,
117,80060,SI_EF_TILTED_SURFACE_OPTIMAL,JAN,numeric,5.82,
118,80060,SI_EF_TILTED_SURFACE_OPTIMAL,FEB,numeric,6.48,
119,80060,SI_EF_TILTED_SURFACE_OPTIMAL,MAR,numeric,7.01,
120,80060,SI_EF_TILTED_SURFACE_OPTIMAL,APR,numeric,7.22,
121,80060,SI_EF_TILTED_SURFACE_OPTIMAL,MAY,numeric,7.6,
122,80060,SI_EF_TILTED_SURFACE_OPTIMAL,JUN,numeric,7.16,
123,80060,SI_EF_TILTED_SURFACE_OPTIMAL,JUL,numeric,6.3,
124,80060,SI_EF_TILTED_SURFACE_OPTIMAL,AUG,numeric,5.86,
125,80060,SI_EF_TILTED_SURFACE_OPTIMAL,SEP,numeric,5.65,
126,80060,SI_EF_TILTED_SURFACE_OPTIMAL,OCT,numeric,6.45,
127,80060,SI_EF_TILTED_SURFACE_OPTIMAL,NOV,numeric,6.19,
128,80060,SI_EF_TILTED_SURFACE_OPTIMAL,DEC,numeric,5.84,
129,80060,SI_EF_TILTED_SURFACE_OPTIMAL,ANN,numeric,-999.0,
130,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG,JAN,numeric,45.5,
131,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG,FEB,numeric,36.5,
132,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG,MAR,numeric,25.0,
133,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG,APR,numeric,8.0,
134,80060,SI_EF_TILTED_SURFACE_OPTIMAL_ANG,MAY,numeric,-5.5,
